proof	cbmc_time_s	wall_s	status
proof_v16_active_bitmap_set_get_count_is_exact_and_bounds_checked	0.23946494	3	PASS
proof_v16_adjust_u128_applies_exact_delta_or_fails_closed	1.3982289	4	PASS
proof_v16_asset_recovery_transition_freezes_price_and_bumps_once	0.518818	4	PASS
proof_v16_asset_recovery_transition_is_idempotent_after_recovery	0.16959617	3	PASS
proof_v16_available_source_support_excludes_liened_and_encumbered_amounts	0.5272917	3	PASS
proof_v16_backing_domain_fee_split_for_lien_delta_is_exact_and_conservative	21.624674	25	PASS
proof_v16_backing_provider_earnings_credit_requires_vault_slack	1.7608895	4	PASS
proof_v16_backing_provider_earnings_withdraw_cannot_exceed_earnings	2.1884344	5	PASS
proof_v16_backing_utilization_collection_cap_charge_conserves_senior_value	104.860405	109	PASS
proof_v16_backing_utilization_collection_first_touch_initializes_cursor_without_value_move	28.933268	33	PASS
proof_v16_backing_utilization_collection_full_charge_conserves_senior_value	108.73562	112	PASS
proof_v16_backing_utilization_collection_negative_pnl_never_draws_capital	87.11936	91	PASS
proof_v16_backing_utilization_fee_is_capped_by_capital_and_conserves_ctot_to_earnings	2.0529141	5	PASS
proof_v16_backing_utilization_fee_never_charges_negative_pnl_account	0.27141908	3	PASS
proof_v16_backing_utilization_fee_quote_atoms_is_exact_floor_and_time_bounded	37.68342	41	PASS
proof_v16_backing_utilization_rate_above_kink_matches_exact_schedule	22.290728	26	PASS
proof_v16_backing_utilization_rate_below_kink_matches_exact_schedule	40.771866	44	PASS
proof_v16_backing_utilization_rate_zero_and_invalid_source_branches_are_exact	5.198877	8	PASS
proof_v16_bankruptcy_hlock_selects_hmax_before_source_backed_value_exit	54.09856	59	PASS
proof_v16_bankruptcy_residual_capacity_is_nonzero_and_bounded_with_headroom	39.75665	44	PASS
proof_v16_batch_outcome_accumulator_is_exact_and_overflow_checked	0.44499525	3	PASS
proof_v16_canonical_retired_asset_slot_preserves_identity_and_clears_local_ledgers	3.189561	6	PASS
proof_v16_capital_backed_loss_reservation_is_value_neutral_and_capital_capped	183.53838	189	PASS
proof_v16_claim_resolved_payout_topup_preflight_rejects_unready	136.47363	142	PASS
proof_v16_close_begin_rejects_account_with_active_close	58.464725	62	PASS
proof_v16_close_begin_rejects_occupied_domain_before_mutation	50.14069	54	PASS
proof_v16_close_begin_takes_barrier_and_stamps_immutable_identity	68.035545	71	PASS
proof_v16_close_cancel_shape_rejects_dropped_residual	35.49162	38	PASS
proof_v16_close_progress_ledger_residual_equation_is_enforced	134.01334	139	PASS
proof_v16_counterparty_backing_add_delta_refills_or_rejects_by_bucket_state	0.5358875	3	PASS
proof_v16_counterparty_backing_withdraw_cannot_underback_claims	75.47817	79	PASS
proof_v16_counterparty_backing_withdraw_delta_debits_only_unliened_backing	21.464008	24	PASS
proof_v16_counterparty_backing_withdraw_delta_status_transitions_are_exact	0.6232121	4	PASS
proof_v16_counterparty_credit_consumption_reports_atoms_not_scaled_backing	23.753622	27	PASS
proof_v16_counterparty_lien_consume_delta_is_receivable_exact_and_fail_closed	1.7803509	5	PASS
proof_v16_counterparty_lien_create_delta_is_expiry_gated_and_exact	0.36343876	4	PASS
proof_v16_counterparty_source_credit_support_does_not_debit_vault_or_insurance	1.9102982	4	PASS
proof_v16_counterparty_source_credit_support_is_prebacked_by_realized_capital	3.0476253	6	PASS
proof_v16_credit_account_from_insurance_is_value_neutral_and_pool_isolated	1.5795217	4	PASS
proof_v16_credit_account_from_insurance_uses_only_unbudgeted_surplus	1.9505093	5	PASS
proof_v16_cross_account_source_support_sum_capped_by_shared_backing	102.740906	106	PASS
proof_v16_cure_and_cancel_close_rejects_without_active_close	76.26464	85	PASS
proof_v16_domain_insurance_budget_delta_cannot_overallocate_pooled_insurance	1.9793313	4	PASS
proof_v16_domain_insurance_deposit_updates_o1_remaining_total	195.83067	201	PASS
proof_v16_domain_insurance_spent_delta_cannot_create_unbacked_budget	2.138144	5	PASS
proof_v16_domain_insurance_withdraw_delta_is_budget_scoped_and_value_conserving	14.030645	17	PASS
proof_v16_duplicate_asset_legs_reject_before_double_counting_support	165.75171	170	PASS
proof_v16_dynamic_market_account_len_fails_closed_on_arithmetic_overflow	0.07834321	2	PASS
proof_v16_dynamic_market_account_len_roundtrips_capacity_and_offsets	39.129562	42	PASS
proof_v16_dynamic_market_extension_slots_must_be_zero_fill	8.943597	12	PASS
proof_v16_dynamic_market_slot_slice_len_matches_runtime_capacity	0.0488911	3	PASS
proof_v16_equity_active_accrual_requires_protective_progress_before_mutation	63.26882	68	PASS
proof_v16_equity_active_accrual_with_progress_commits_one_bounded_segment	77.63532	82	PASS
proof_v16_expired_backing_yields_zero_realizable_support_after_expiry	532.88995	538	PASS
proof_v16_expired_close_progress_declares_recovery_without_value_mutation	87.37548	92	PASS
proof_v16_expired_counterparty_backing_bucket_accepts_receivable_refill	0.34009477	3	PASS
proof_v16_fee_core_moves_current_capital_to_insurance_only	34.220425	39	PASS
proof_v16_final_batch_margin_gate_accepts_only_final_certified_im	7.03026	10	PASS
proof_v16_final_impaired_source_claim_burn_clears_account_occupancy_counters	12.506527	16	PASS
proof_v16_funding_rate_cap_rejects_before_accrual_mutation	59.02756	63	PASS
proof_v16_global_hlock_lane_selects_hmax_only_for_global_stress_or_candidate	8.129873	13	PASS
proof_v16_grant_source_positive_pnl_rejects_non_live	556.9328	563	PASS
proof_v16_health_cert_capital_debit_preserves_im_or_rejects	1.2195971	5	PASS
proof_v16_in_place_account_init_clears_hidden_risk_state_and_validates	45.504555	51	PASS
proof_v16_inductive_fee_core_preserves_senior_solvency_and_never_debits_insurance	22.379356	26	PASS
proof_v16_inductive_settle_negative_pnl_preserves_senior_solvency	24.54163	29	PASS
proof_v16_insolvent_resolved_receipt_clears_at_terminal_rate	237.57292	244	PASS
proof_v16_insurance_domain_mapping_is_in_bounds_unique_and_roundtrips	12.707524	16	PASS
proof_v16_insurance_lien_consume_delta_is_aligned_and_atom_exact	0.80493194	4	PASS
proof_v16_insurance_lien_consume_spends_only_its_domain_budget	99.42194	104	PASS
proof_v16_insurance_lien_fractional_consume_rejects	1.0419817	4	PASS
proof_v16_insurance_lien_split_consume_spends_exact_reserved_atoms	26.972134	30	PASS
proof_v16_insurance_lien_terminal_release_delta_handles_mixed_and_rejects_invalid	0.9012149	4	PASS
proof_v16_liquidation_cannot_leave_uncovered_loss_with_other_open_risk	0.770981	4	PASS
proof_v16_liquidation_preflight_accepts_only_fully_durable_residual	249.01996	254	PASS
proof_v16_liquidation_preflight_routes_insufficient_residual_capacity_to_recovery	201.75066	207	PASS
proof_v16_public_materialized_portfolio_deregister_is_value_neutral	62.093224	67	PASS
proof_v16_public_materialized_portfolio_deregister_rejects_value_state_before_mutation	47.016903	52	PASS
proof_v16_public_materialized_portfolio_register_is_value_neutral	64.59546	70	PASS
proof_v16_public_materialized_portfolio_register_rejects_value_state_before_mutation	47.706444	57	PASS
proof_v16_public_permissionless_empty_market_crank_advances_clock_without_value_movement	157.70064	169	PASS
proof_v16_public_raw_oracle_target_update_is_value_neutral	165.49342	171	PASS
proof_v16_public_resolve_market_is_value_neutral_and_clears_loss_stale	197.68063	203	PASS
proof_v16_public_resolved_bound_refinement_is_monotone_and_value_neutral	56.90691	61	PASS
proof_v16_public_resolved_close_flat_account_pays_only_capital_and_vault	642.9105	653	PASS
proof_v16_public_resolved_payout_topup_pays_min_claimable_and_vault	153.93405	159	PASS
proof_v16_public_restart_asset_zero_preserves_only_selected_slot_in_two_slot_view	101.13663	106	PASS
proof_v16_public_restart_empty_asset_zero_preserves_budgets_and_senior_value	49.82709	54	PASS
proof_v16_public_restart_nonzero_asset_preserves_only_selected_slot_in_two_slot_view	101.209045	106	PASS
proof_v16_public_restart_rejects_spent_domain_before_mutation	43.83656	48	PASS
proof_v16_recovery_mode_blocks_fee_sync_and_pnl_conversion_before_mutation	314.61606	323	PASS
proof_v16_recovery_mode_blocks_withdraw	160.86406	167	PASS
proof_v16_reserved_domain_insurance_cannot_be_double_spent_by_bankruptcy	218.96318	225	PASS
proof_v16_reset_empty_asset_oracle_anchor_is_value_neutral_and_idle_gated	59.0115	63	PASS
proof_v16_reset_empty_asset_oracle_anchor_rejects_when_pnl_present	19.009232	23	PASS
proof_v16_residual_excludes_recoverable_counterparty_backing_principal	785.0678	790	PASS
proof_v16_residual_excludes_senior_backing_provider_earnings	127.60481	133	PASS
